Scan ID, Event Time         , BSSID            , SSID             , Device Name            , Accuracy, MGRS           , Latitude, Longitude, Altitude Meters, RSSI, Channel, Frequency MHz, Security, Manufacturer   , Device Type , Source      , Notes
SV-0110, 2026-05-19 23:16:29, 70:3A:CB:22:44:55, CitySensor-17    , Air Quality Sensor 17  ,       21, 15SWC8154481608, 41.90432, -87.62393,             182, -87 ,      11,          2462, WPA2    , Bosch          , Sensor      , passive scan,city sensor repeat
SV-0111, 2026-05-19 23:24:52, 02:11:22:33:44:55, RandomizedPhone-1, Unknown iOS Device     ,       13, 15SWC8167682111, 41.90904, -87.62294,             183, -80 ,     149,          5745, WPA3    , Apple          , Mobile      , passive scan,randomized MAC new MGRS
SV-0112, 2026-05-19 23:33:15, 10:FE:ED:44:12:01, ClinicGuest      , Clinic Tablet A        ,       10, 15SWC8155681654, 41.90475, -87.62384,             183, -72 ,      36,          5180, WPA2    , Lenovo         , Tablet      , active scan ,clinic tablet repeat
SV-0113, 2026-05-19 23:41:39, 9C:8E:CD:01:23:45, HotelIoT         , Smart Thermostat 3     ,       12, 15SWC8168882156, 41.90947, -87.62285,             184, -75 ,       1,          2412, WPA2    , Honeywell      , Sensor      , passive scan,thermostat new MGRS
SV-0114, 2026-05-19 23:49:02, BC:AD:28:45:90:12, ParkingMeterNet  , Meter Gateway 12       ,       19, 15SWC8156881700, 41.90518, -87.62375,             182, -88 ,      44,          5220, WPA2    , Sierra Wireless, Gateway     , passive scan,meter gateway repeat
SV-0115, 2026-05-19 23:57:25, 58:CB:52:AA:90:77, CampusSecure     , Security Badge Reader  ,        9, 15SWC8170082202, 41.90990, -87.62276,             182, -67 ,      11,          2462, WPA2    , HID            , Reader      , active scan ,badge reader moved
SV-0116, 2026-05-20 00:05:48, C8:D7:19:10:20:30, FoodTruckPOS     , Food Truck POS         ,       16, 15SWC8158081745, 41.90561, -87.62366,             183, -83 ,       6,          2437, WPA2    , Clover         , POS         , passive scan,food truck POS repeat
SV-0117, 2026-05-20 00:13:11, 34:12:98:76:54:32, DroneController  , Survey Drone Controller,       28, 15SWC8171282248, 41.91033, -87.62267,             185, -92 ,     149,          5745, WPA2    , DJI            , Controller  , active scan ,drone controller moved
SV-0118, 2026-05-20 00:21:34, 90:2B:34:56:78:9A, MuseumBeacon     , Museum Beacon West     ,        5, 15SWC8159281791, 41.90604, -87.62357,             181, -51 ,       1,          2412, Open    , Kontakt.io     , Beacon      , passive scan,beacon repeat
SV-0119, 2026-05-20 00:29:58, A0:B1:C2:D3:E4:F5, GuestLobby       , Lobby AP 1             ,        7, 15SWC8172482293, 41.91076, -87.62258,             182, -63 ,      36,          5180, WPA2    , Ubiquiti       , Access Point, active scan ,lobby AP new MGRS
SV-0120, 2026-05-20 00:38:21, 7E:57:21:AA:CC:09, UnknownWearable  , Unknown Watch          ,       22, 15SWC8160481837, 41.90647, -87.62348,             183, -90 ,      40,          5200, WPA3    , Garmin         , Wearable    , passive scan,wearable repeat
